
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0268435456, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.0103663, Redshift: 95.4662, Nf = 0005114195, Systemstep: 0.000366329, Dloga: 0.0359779

Begin Step 2, Time: 0.0107461, Redshift: 92.0572, Nf = 0268435456, Systemstep: 0.000379749, Dloga: 0.0359779

Begin Step 3, Time: 0.0111397, Redshift: 88.7687, Nf = 0009326431, Systemstep: 0.00039366, Dloga: 0.0359779

Begin Step 4, Time: 0.0115478, Redshift: 85.5964, Nf = 0268435456, Systemstep: 0.000408081, Dloga: 0.0359779

Begin Step 5, Time: 0.0119709, Redshift: 82.5363, Nf = 0015531329, Systemstep: 0.00042303, Dloga: 0.0359779

Begin Step 6, Time: 0.0124094, Redshift: 79.5842, Nf = 0268435456, Systemstep: 0.000438527, Dloga: 0.0359779

Begin Step 7, Time: 0.012864, Redshift: 76.7365, Nf = 0023952999, Systemstep: 0.000454592, Dloga: 0.0359779

Begin Step 8, Time: 0.0133352, Redshift: 73.9894, Nf = 0268435456, Systemstep: 0.000471245, Dloga: 0.0359779

Begin Step 9, Time: 0.0138237, Redshift: 71.3394, Nf = 0034679960, Systemstep: 0.000488508, Dloga: 0.0359779

Begin Step 10, Time: 0.0143301, Redshift: 68.7831, Nf = 0268435456, Systemstep: 0.000506403, Dloga: 0.0359779

Begin Step 11, Time: 0.0148551, Redshift: 66.317, Nf = 0047584763, Systemstep: 0.000524954, Dloga: 0.0359779

Begin Step 12, Time: 0.0153993, Redshift: 63.9382, Nf = 0268435456, Systemstep: 0.000544185, Dloga: 0.0359779

Begin Step 13, Time: 0.0159634, Redshift: 61.6434, Nf = 0062430735, Systemstep: 0.00056412, Dloga: 0.0359779

Begin Step 14, Time: 0.0165482, Redshift: 59.4296, Nf = 0268435456, Systemstep: 0.000584786, Dloga: 0.0359779

Begin Step 15, Time: 0.0171544, Redshift: 57.2942, Nf = 0078645761, Systemstep: 0.000606208, Dloga: 0.0359779

Begin Step 16, Time: 0.0177828, Redshift: 55.2341, Nf = 0268435456, Systemstep: 0.000628415, Dloga: 0.0359779

Begin Step 17, Time: 0.0184342, Redshift: 53.2469, Nf = 0095739208, Systemstep: 0.000651436, Dloga: 0.0359779

Begin Step 18, Time: 0.0191095, Redshift: 51.3299, Nf = 0268435456, Systemstep: 0.0006753, Dloga: 0.0359779

Begin Step 19, Time: 0.0198096, Redshift: 49.4807, Nf = 0113134663, Systemstep: 0.000700038, Dloga: 0.0359779

Begin Step 20, Time: 0.0205353, Redshift: 47.6968, Nf = 0268435456, Systemstep: 0.000725682, Dloga: 0.0359779

Begin Step 21, Time: 0.0212875, Redshift: 45.9759, Nf = 0130315141, Systemstep: 0.000752266, Dloga: 0.0359779

Begin Step 22, Time: 0.0220673, Redshift: 44.3158, Nf = 0268435456, Systemstep: 0.000779824, Dloga: 0.0359779

Begin Step 23, Time: 0.0224679, Redshift: 43.5079, Nf = 0000000019, Systemstep: 0.00040056, Dloga: 0.0179889

Begin Step 24, Time: 0.0228757, Redshift: 42.7144, Nf = 0146868970, Systemstep: 0.000407831, Dloga: 0.0179889

Begin Step 25, Time: 0.023291, Redshift: 41.9351, Nf = 0000000024, Systemstep: 0.000415234, Dloga: 0.0179889

Begin Step 26, Time: 0.0237137, Redshift: 41.1697, Nf = 0268435456, Systemstep: 0.000422771, Dloga: 0.0179889

Begin Step 27, Time: 0.0241442, Redshift: 40.4178, Nf = 0000000716, Systemstep: 0.000430445, Dloga: 0.0179889

Begin Step 28, Time: 0.0245824, Redshift: 39.6794, Nf = 0162441080, Systemstep: 0.000438258, Dloga: 0.0179889

Begin Step 29, Time: 0.0250287, Redshift: 38.9542, Nf = 0000000759, Systemstep: 0.000446214, Dloga: 0.0179889

Begin Step 30, Time: 0.025483, Redshift: 38.2419, Nf = 0268435456, Systemstep: 0.000454313, Dloga: 0.0179889

Begin Step 31, Time: 0.0259455, Redshift: 37.5423, Nf = 0000006084, Systemstep: 0.00046256, Dloga: 0.0179889

Begin Step 32, Time: 0.0264165, Redshift: 36.8552, Nf = 0176795222, Systemstep: 0.000470956, Dloga: 0.0179889

Begin Step 33, Time: 0.026896, Redshift: 36.1803, Nf = 0000006385, Systemstep: 0.000479505, Dloga: 0.0179889

Begin Step 34, Time: 0.0273842, Redshift: 35.5174, Nf = 0268435456, Systemstep: 0.000488208, Dloga: 0.0179889

Begin Step 35, Time: 0.0278813, Redshift: 34.8664, Nf = 0000032543, Systemstep: 0.00049707, Dloga: 0.0179889

Begin Step 36, Time: 0.0283874, Redshift: 34.2269, Nf = 0189819604, Systemstep: 0.000506093, Dloga: 0.0179889

Begin Step 37, Time: 0.0289026, Redshift: 33.5989, Nf = 0000033447, Systemstep: 0.000515279, Dloga: 0.0179889

Begin Step 38, Time: 0.0294273, Redshift: 32.9821, Nf = 0268435456, Systemstep: 0.000524633, Dloga: 0.0179889

Begin Step 39, Time: 0.0299614, Redshift: 32.3762, Nf = 0000112387, Systemstep: 0.000534156, Dloga: 0.0179889

Begin Step 40, Time: 0.0305053, Redshift: 31.7812, Nf = 0201481282, Systemstep: 0.000543851, Dloga: 0.0179889

Begin Step 41, Time: 0.031059, Redshift: 31.1968, Nf = 0000114827, Systemstep: 0.000553723, Dloga: 0.0179889

Begin Step 42, Time: 0.0316228, Redshift: 30.6228, Nf = 0268435456, Systemstep: 0.000563774, Dloga: 0.0179889

Begin Step 43, Time: 0.0321968, Redshift: 30.059, Nf = 0000315186, Systemstep: 0.000574008, Dloga: 0.0179889

Begin Step 44, Time: 0.0327812, Redshift: 29.5053, Nf = 0211765345, Systemstep: 0.000584427, Dloga: 0.0179889

Begin Step 45, Time: 0.0333762, Redshift: 28.9614, Nf = 0000321077, Systemstep: 0.000595035, Dloga: 0.0179889

Begin Step 46, Time: 0.0339821, Redshift: 28.4273, Nf = 0268435456, Systemstep: 0.000605836, Dloga: 0.0179889

Begin Step 47, Time: 0.0345989, Redshift: 27.9026, Nf = 0000780753, Systemstep: 0.000616833, Dloga: 0.0179889

Begin Step 48, Time: 0.0352269, Redshift: 27.3874, Nf = 0220739931, Systemstep: 0.00062803, Dloga: 0.0179889

Begin Step 49, Time: 0.0358664, Redshift: 26.8813, Nf = 0000793919, Systemstep: 0.00063943, Dloga: 0.0179889

Begin Step 50, Time: 0.0365174, Redshift: 26.3842, Nf = 0268435456, Systemstep: 0.000651036, Dloga: 0.0179889

Begin Step 51, Time: 0.0371803, Redshift: 25.896, Nf = 0001757860, Systemstep: 0.000662854, Dloga: 0.0179889

Begin Step 52, Time: 0.0378552, Redshift: 25.4165, Nf = 0228470217, Systemstep: 0.000674886, Dloga: 0.0179889

Begin Step 53, Time: 0.0385423, Redshift: 24.9455, Nf = 0001783959, Systemstep: 0.000687136, Dloga: 0.0179889

Begin Step 54, Time: 0.0392419, Redshift: 24.483, Nf = 0268435456, Systemstep: 0.000699609, Dloga: 0.0179889

Begin Step 55, Time: 0.0399542, Redshift: 24.0287, Nf = 0003587881, Systemstep: 0.000712308, Dloga: 0.0179889

Begin Step 56, Time: 0.0406794, Redshift: 23.5824, Nf = 0235090881, Systemstep: 0.000725238, Dloga: 0.0179889

Begin Step 57, Time: 0.0414178, Redshift: 23.1442, Nf = 0003634352, Systemstep: 0.000738402, Dloga: 0.0179889

Begin Step 58, Time: 0.0421697, Redshift: 22.7137, Nf = 0268435456, Systemstep: 0.000751805, Dloga: 0.0179889

Begin Step 59, Time: 0.0429351, Redshift: 22.291, Nf = 0006723451, Systemstep: 0.000765452, Dloga: 0.0179889

Begin Step 60, Time: 0.0437144, Redshift: 21.8757, Nf = 0240717958, Systemstep: 0.000779346, Dloga: 0.0179889

Begin Step 61, Time: 0.0445079, Redshift: 21.4679, Nf = 0006797292, Systemstep: 0.000793492, Dloga: 0.0179889

Begin Step 62, Time: 0.0453158, Redshift: 21.0673, Nf = 0268435456, Systemstep: 0.000807896, Dloga: 0.0179889

Begin Step 63, Time: 0.0461384, Redshift: 20.6739, Nf = 0011590943, Systemstep: 0.00082256, Dloga: 0.0179889

Begin Step 64, Time: 0.0469759, Redshift: 20.2875, Nf = 0245465151, Systemstep: 0.000837491, Dloga: 0.0179889

Begin Step 65, Time: 0.0478286, Redshift: 19.908, Nf = 0011698873, Systemstep: 0.000852693, Dloga: 0.0179889

Begin Step 66, Time: 0.0486968, Redshift: 19.5353, Nf = 0268435456, Systemstep: 0.000868171, Dloga: 0.0179889

Begin Step 67, Time: 0.0495807, Redshift: 19.1691, Nf = 0018559039, Systemstep: 0.00088393, Dloga: 0.0179889

Begin Step 68, Time: 0.0504807, Redshift: 18.8096, Nf = 0249449498, Systemstep: 0.000899975, Dloga: 0.0179889

Begin Step 69, Time: 0.051397, Redshift: 18.4564, Nf = 0018704649, Systemstep: 0.000916311, Dloga: 0.0179889

Begin Step 70, Time: 0.0523299, Redshift: 18.1095, Nf = 0268435456, Systemstep: 0.000932943, Dloga: 0.0179889

Begin Step 71, Time: 0.0532798, Redshift: 17.7688, Nf = 0027803903, Systemstep: 0.000949878, Dloga: 0.0179889

Begin Step 72, Time: 0.0542469, Redshift: 17.4342, Nf = 0252779871, Systemstep: 0.00096712, Dloga: 0.0179889

Begin Step 73, Time: 0.0552316, Redshift: 17.1056, Nf = 0027990375, Systemstep: 0.000984675, Dloga: 0.0179889

Begin Step 74, Time: 0.0562341, Redshift: 16.7828, Nf = 0268435456, Systemstep: 0.00100255, Dloga: 0.0179889

Begin Step 75, Time: 0.0572549, Redshift: 16.4658, Nf = 0039307888, Systemstep: 0.00102075, Dloga: 0.0179889

Begin Step 76, Time: 0.0582942, Redshift: 16.1544, Nf = 0255550563, Systemstep: 0.00103927, Dloga: 0.0179889

Begin Step 77, Time: 0.0593523, Redshift: 15.8485, Nf = 0039532822, Systemstep: 0.00105814, Dloga: 0.0179889

Begin Step 78, Time: 0.0604296, Redshift: 15.5482, Nf = 0268435456, Systemstep: 0.00107735, Dloga: 0.0179889

Begin Step 79, Time: 0.0615265, Redshift: 15.2531, Nf = 0052899729, Systemstep: 0.0010969, Dloga: 0.0179889

Begin Step 80, Time: 0.0626434, Redshift: 14.9634, Nf = 0257847625, Systemstep: 0.00111681, Dloga: 0.0179889

Begin Step 81, Time: 0.0637804, Redshift: 14.6788, Nf = 0053158135, Systemstep: 0.00113708, Dloga: 0.0179889

Begin Step 82, Time: 0.0649382, Redshift: 14.3993, Nf = 0268435456, Systemstep: 0.00115772, Dloga: 0.0179889

Begin Step 83, Time: 0.0661169, Redshift: 14.1247, Nf = 0068227283, Systemstep: 0.00117874, Dloga: 0.0179889

Begin Step 84, Time: 0.067317, Redshift: 13.8551, Nf = 0259754938, Systemstep: 0.00120014, Dloga: 0.0179889

Begin Step 85, Time: 0.068539, Redshift: 13.5902, Nf = 0068509847, Systemstep: 0.00122192, Dloga: 0.0179889

Begin Step 86, Time: 0.0697831, Redshift: 13.3301, Nf = 0268435456, Systemstep: 0.0012441, Dloga: 0.0179889

Begin Step 87, Time: 0.0710497, Redshift: 13.0746, Nf = 0084781192, Systemstep: 0.00126668, Dloga: 0.0179889

Begin Step 88, Time: 0.0723394, Redshift: 12.8237, Nf = 0261325872, Systemstep: 0.00128968, Dloga: 0.0179889

Begin Step 89, Time: 0.0736525, Redshift: 12.5773, Nf = 0085081646, Systemstep: 0.00131308, Dloga: 0.0179889

Begin Step 90, Time: 0.074318, Redshift: 12.4557, Nf = 0000000001, Systemstep: 0.000665454, Dloga: 0.00899447

